page,locale,page_type,http_status,final_url,redirected,gsc_coverage_state,current_clicks,current_impressions,clicks_all,impressions_all,position_all
https://gptbot.uz/ru/blog/chat-bot-dlya-sayta-kak-dobavit-i-skolko-stoit/,ru,blog,,,,Page with redirect,0,1,0,91,62.81318681318681
https://gptbot.uz/ru/razrabotka-sayta-pod-klyuch/,ru,landing,,,,,0,0,0,50,61.7
https://gptbot.uz/ru/bot-dlya-obrabotki-zayavok/,ru,landing,,,,,0,0,0,42,66.88095238095238
https://gptbot.uz/ru/gpt-bot-dlya-biznesa/,ru,landing,,,,Page with redirect,0,0,0,42,32.523809523809526
https://gptbot.uz/?lang=uz,root,home,,,,,0,0,0,31,5.645161290322581
https://gptbot.uz/ru/telegram-bot-uzbekistan/,ru,landing,,,,Not found (404),0,0,0,20,10.15
https://gptbot.uz/ru/blog/chat-bot-dlya-biznesa-tashkent/,ru,blog,,,,,0,0,0,4,10.25
https://gptbot.uz/ru/blog/kak-podklyuchit-telegram-bot-k-crm/,ru,blog,,,,,0,0,0,4,39.0
http://gptbot.uz/,root,home,,,,,0,0,0,2,1.0
https://gptbot.uz/ru/blog/telegram-bot-dlya-biznesa-tashkent/,ru,blog,,,,,0,0,0,2,14.5
https://gptbot.uz/ru/blog/luchshie-gpt-dlya-biznesa-uzbekistana/,ru,blog,,,,,0,1,0,2,7.0
https://www.gptbot.uz/uz/biznes-nega-arizalarni-yoqotadi/,uz,landing,,,,,0,0,0,1,12.0
https://www.gptbot.uz/,root,home,,,,,0,0,0,1,9.0
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnesie/,ru,landing,,,,URL is unknown to Google,1,1,1,1,1.0
https://gptbot.uz/ru/blog/telegram-bot-biznes-tsena-tashkent/,ru,blog,,,,,0,0,0,1,5.0
https://gptbot.uz/ru/blog/razrabotka-ai-bota-v-tashkente-cena/,ru,blog,,,,,0,0,0,1,2.0
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuter-ga-yuklab-olish/,uz,blog,,,,,0,1,0,1,2.0
https://gptbot.uz/ru/blog/chat-bot-na-russkom-i-uzbekskom-yazyke/,ru,blog,,,,,0,0,0,1,8.0
