page,locale,page_type,in_sitemap,http_status,gsc_coverage_state,position_bucket_28d,dominant_topic_28d,dominant_intent_28d,dominant_query_language_28d,language_mismatch_flag,unique_queries_28d,queries_with_clicks_28d,top_queries_28d,current_clicks,current_impressions,current_ctr,current_position,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_prev90,impressions_prev90,clicks_all,impressions_all,position_all,clicks_7d,impressions_7d,position_7d,top_query_by_impressions,top_query_impressions,top_query_position,final_url,redirected,noindex,canonical,canonical_self,html_lang,title,title_len,description,description_len,h1,h1_count,h2_count,word_count,internal_link_count,inbound_internal_links,img_count,img_missing_alt,jsonld_types,jsonld_has_faq,jsonld_has_breadcrumb,jsonld_has_org,jsonld_has_service,jsonld_has_article,faq_heading,sitemap_lastmod,telegram_links,gsc_last_crawl,gsc_canonical_matches,gsc_in_sitemap,fine_bucket,expected_ctr_site_pages,ctr_ratio,potential_extra_clicks_28d,quick_win_type
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,uz,blog,True,200.0,Submitted and indexed,4-10,chatgpt_download,navigational,uz,False,38.0,14.0,chatgpt yuklab olish uzbek tilida (174c/9601i/p4.7) | chatgpt ilovasini yuklab olish (54c/1930i/p5.7) | chatgpt yuklab olish (48c/3732i/p7.1) | chatgpt ochish (9c/1193i/p6.3) | chat gpt yuklash (7c/613i/p7.2),337,19110,0.0176347462061747,5.606802721088435,19,2607,0.0072880705792098,7.843498273878021,318.0,1673.7,16503.0,633.0,0.0103,-2.24,improved,both,356,21717,0.0163926877561357,5.875305060551642,0,0,356,21717,5.875305060551642,162,8260,5.193583535108959,chatgpt yuklab olish uzbek tilida,9601.0,4.674408915737944,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,False,False,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,True,uz,ChatGPT yuklab olish o‘zbek tilida — 3 usul (2026),50.0,"ChatGPT’ni telefonga va kompyuterga yuklab olish: Play Market, App Store va brauzer — 3 ta usul, bepul, 3 daqiqada. Birinchi sozlash, keng tarqalgan xatolar va ularning yechimi.",177.0,ChatGPT yuklab olish: telefon va kompyuterga xavfsiz o‘rnatish,1.0,10.0,1166.0,15.0,10.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-01,1.0,2026-09-10T12:44:13Z,True,['sitemap.xml'],4-6,0.0212264150943396,0.83,68.6,volume_pos4_10
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,uz,blog,True,200.0,Submitted and indexed,4-10,chatgpt_login,navigational,uz,False,19.0,5.0,chatgpt kirish (74c/21142i/p7.2) | chatgpt ochish (11c/1855i/p5.9) | chatgpt kirish login (3c/111i/p6.1) | chatgpt kirish uzbek tilida (1c/959i/p9.8) | chatgptga kirish (1c/64i/p3.7),95,25244,0.003763270480114,7.164276659800349,0,0,,,95.0,,25244.0,,0.0038,,n/a,new,95,25244,0.003763270480114,7.164276659800349,0,0,95,25244,7.164276659800349,43,12918,7.397662176807556,chatgpt kirish,21142.0,7.225853750827736,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,False,False,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,True,uz,"ChatGPT login: rasmiy sayt, ro‘yxatdan o‘tish va xatolar",56.0,"ChatGPT login va Sign up: rasmiy domenni tekshirish, hisob ochish, kod kelmasa nima qilish, klon saytlardan saqlanish. O‘zbekiston uchun 2026 qo‘llanmasi.",154.0,ChatGPT login va ro‘yxatdan o‘tish: rasmiy sayt va keng tarqalgan xatolar,1.0,10.0,829.0,12.0,8.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-04,1.0,2026-09-04T11:35:30Z,True,"['sitemap-new.xml', 'sitemap.xml']",7-10,0.006437519891213101,0.58,67.5,ctr_gap
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,uz,blog,True,200.0,Submitted and indexed,4-10,chatgpt_login,navigational,uz,False,11.0,2.0,chatgpt kirish (3c/1714i/p8.8) | chatgpt ochish (2c/193i/p6.5) | chatgpt kirish uzbek tilida (0c/64i/p8.0) | chatgpt ga kirish (0c/25i/p8.2) | chatgpt ochish uzbek tilida (0c/23i/p7.2),7,2246,0.0031166518254674,8.422974176313446,0,15,0.0,10.8,7.0,,2231.0,14873.3,0.0031,-2.38,improved,both,7,2261,0.0030959752321981,8.43874391862008,0,0,7,2261,8.43874391862008,0,237,8.084388185654008,chatgpt kirish,1714.0,8.79463243873979,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,False,False,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,True,uz,"ChatGPT’ga kirish O‘zbekistonda: 4 qadamda, VPNsiz",50.0,"ChatGPT’ga kirish: to‘g‘ridan-to‘g‘ri chatgpt.com orqali, VPN va qo‘shimcha dastursiz. 4 qadam, hisob ochish, o‘zbek tilida yozish, keng tarqalgan xatolar va yechimlari.",169.0,ChatGPT O‘zbekistonda: VPNsiz ochish va kirish,1.0,14.0,2034.0,19.0,10.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-01,1.0,2026-09-04T11:33:29Z,True,['sitemap.xml'],7-10,0.006437519891213101,0.48,7.5,ctr_gap
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,ru,landing,True,200.0,Submitted and indexed,4-10,chatgpt_online,transactional,ru,False,23.0,0.0,джіпічат (0c/10i/p8.5) | чем ты отличаешься от чата gpt (0c/6i/p8.0) | что означает gpt в chatgpt (0c/6i/p8.8) | chat gpt расшифровка (0c/5i/p9.6) | gpt расшифровка (0c/3i/p11.3),4,843,0.0047449584816132,6.816132858837485,0,353,0.0,6.861189801699717,4.0,,490.0,138.8,0.0047,-0.05,stable,both,4,1237,0.0032336297493936,6.864187550525465,0,0,4,1237,6.864187550525465,0,303,6.31023102310231,джіпічат,10.0,8.5,https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,False,False,https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,True,ru,GPT и ChatGPT: разница простыми словами + таблица,49.0,"Чем GPT отличается от ChatGPT: технология против сервиса, понятная таблица, примеры и когда какой вариант нужен для работы или бизнеса.",135.0,GPT vs ChatGPT: в чём разница простыми словами,1.0,7.0,745.0,13.0,5.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Article|FAQPage",True,True,True,True,True,True,2026-09-01,1.0,2026-09-13T10:46:46Z,True,[],7-10,0.006437519891213101,0.74,1.4,volume_pos4_10
https://gptbot.uz/uz/gpt-uzbek-tilida/,uz,landing,True,200.0,Submitted and indexed,4-10,chatgpt_login,navigational,uz,False,81.0,26.0,chatgpt bepul kirish (11c/2205i/p8.4) | chatgpt uzbekcha bepul (9c/939i/p5.3) | chatgpt uzbek tilida online (8c/665i/p5.7) | chatgpt kirish uzbek tilida (7c/1920i/p5.9) | chatgpt uzbek tilida gaplashish (6c/638i/p7.0),119,14130,0.0084217975937721,6.794904458598726,8,420,0.019047619047619,6.966666666666667,111.0,1387.5,13710.0,3264.3,-0.0106,-0.17,stable,both,128,14570,0.0087851750171585,6.800823610157859,0,0,128,14570,6.800823610157859,45,6364,6.749842866121936,chatgpt bepul kirish,2205.0,8.41904761904762,https://gptbot.uz/uz/gpt-uzbek-tilida/,False,False,https://gptbot.uz/uz/gpt-uzbek-tilida/,True,uz,"ChatGPT o‘zbek tilida online — bepul, ro‘yxatsiz, VPNsiz",56.0,"ChatGPT o‘zbek tilida: bepul AI chat brauzerda, ro‘yxatdan o‘tmasdan. Kirish — bir necha soniyada, javob o‘zbekcha, telefon va kompyuterda ishlaydi.",148.0,ChatGPT o‘zbek tilida online,1.0,13.0,1313.0,23.0,23.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|FAQPage|SoftwareApplication",True,True,True,True,False,False,2026-09-04,1.0,2026-09-13T08:49:07Z,True,['sitemap.xml'],7-10,0.006437519891213101,1.31,0.0,volume_pos4_10
https://gptbot.uz/ru/gpt-chat/,ru,landing,True,200.0,Submitted and indexed,4-10,chatgpt_online,transactional,uz,True,121.0,19.0,chatgpt uz (9c/368i/p4.4) | chatgpt uzbekcha online (7c/1011i/p5.0) | jaji piti online (4c/612i/p6.9) | chatgpt bepul (4c/223i/p6.1) | чат джипити узбекча (4c/38i/p6.3),117,5512,0.0212264150943396,5.671625544267053,11,505,0.0217821782178217,5.928712871287129,106.0,963.6,5007.0,991.5,-0.0006,-0.26,stable,both,128,6040,0.0211920529801324,5.696192052980132,0,0,128,6040,5.696192052980132,61,2723,5.94638266617701,chatgpt uzbekcha online,1011.0,5.0,https://gptbot.uz/ru/gpt-chat/,False,False,https://gptbot.uz/ru/gpt-chat/,True,ru,ChatGPT онлайн бесплатно в Узбекистане — без регистрации,56.0,"ChatGPT онлайн в Узбекистане без регистрации и VPN: русский и узбекский AI-чат прямо в браузере. Тексты, перевод, учёба и работа — бесплатно.",141.0,Chat GPT онлайн в Узбекистане,1.0,4.0,633.0,15.0,23.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|FAQPage|SoftwareApplication",True,True,True,True,False,False,2026-09-04,1.0,2026-09-14T02:10:26Z,True,['sitemap.xml'],4-6,0.0212264150943396,1.0,0.0,volume_pos4_10
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,uz,blog,True,200.0,Submitted and indexed,4-10,chatgpt_prompts,informational,uz,False,10.0,2.0,chatgpt uchun prompt (1c/40i/p7.6) | chat gpt uchun prompt (1c/13i/p3.2) | chatgpt uzbek tilida gaplashish (0c/21i/p9.7) | chat gpt promtlar (0c/5i/p2.6) | chatgpt savol javob (0c/2i/p1.0),14,478,0.0292887029288702,6.169456066945607,2,57,0.0350877192982456,6.4035087719298245,12.0,600.0,421.0,738.6,-0.0058,-0.23,stable,both,16,535,0.0299065420560747,6.194392523364486,0,0,16,535,6.194392523364486,3,141,5.851063829787234,chatgpt uchun prompt,40.0,7.625,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,False,False,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,True,uz,ChatGPT uchun o‘zbek tilida 50 ta tayyor prompt,47.0,"O‘qish, ish, marketing, savdo va kundalik vazifalar uchun o‘zbek tilida 50 ta tayyor ChatGPT prompt. Nusxalang, moslang va aniqroq javob oling.",143.0,ChatGPT uchun o‘zbek tilida 50 ta tayyor prompt,1.0,10.0,1383.0,14.0,13.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-01,1.0,2026-09-09T18:47:34Z,True,['sitemap.xml'],7-10,0.006437519891213101,4.55,0.0,volume_pos4_10
https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,ru,blog,True,200.0,Submitted and indexed,4-10,chatgpt_online,transactional,ru,False,14.0,0.0,al chat что это (0c/3i/p10.7) | искусственный интеллект онлайн чат (0c/2i/p12.0) | как объяснить чату gpt (0c/2i/p6.0) | как перевести чат gpt на русский (0c/2i/p4.5) | gpt chat на русском языке (0c/1i/p67.0),2,246,0.008130081300813,9.32520325203252,0,39,0.0,33.05128205128205,2.0,,207.0,530.8,0.0081,-23.73,improved,both,2,293,0.0068259385665529,12.337883959044367,0,0,2,293,12.337883959044367,2,87,8.609195402298852,al chat что это,3.0,10.666666666666666,https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,False,False,https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,True,ru,Как пользоваться AI-чатом на русском: инструкция с примерами,60.0,"Пошагово: как ставить задачу AI-чату на русском, писать понятные запросы, проверять ответы и готовить тексты, планы и идеи. Разбор с примерами промптов.",152.0,Как пользоваться AI-чатом на русском: пошаговая инструкция,1.0,17.0,2659.0,11.0,11.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-08-25,1.0,2026-08-20T12:03:31Z,True,['sitemap.xml'],7-10,0.006437519891213101,1.26,0.0,volume_pos4_10
https://gptbot.uz/ru/blog/chto-vhodit-v-uslugi-smm-specialista/,ru,blog,True,200.0,,11-20,smm,commercial,ru,False,16.0,0.0,услуги смм специалиста (0c/76i/p9.4) | услуги в рамках smm (0c/18i/p36.6) | smm услуги (0c/12i/p34.8) | что входит в услуги смм (0c/9i/p21.7) | услуги смм что это (0c/4i/p25.0),1,176,0.0056818181818181,15.772727272727272,1,37,0.027027027027027,22.83783783783784,0.0,0.0,139.0,375.7,-0.0213,-7.07,improved,both,2,213,0.0093896713615023,17.0,0,0,2,213,17.0,0,22,16.772727272727273,услуги смм специалиста,76.0,9.421052631578949,https://gptbot.uz/ru/blog/chto-vhodit-v-uslugi-smm-specialista/,False,False,https://gptbot.uz/ru/blog/chto-vhodit-v-uslugi-smm-specialista/,True,ru,Что входит в услуги SMM-специалиста: состав работ,49.0,"Обязанности SMM-специалиста: стратегия, контент, публикация, Direct, аналитика. Что в зоне ответственности, что оплачивается отдельно и как принимать работу.",157.0,Что входит в услуги SMM-специалиста,1.0,11.0,1458.0,9.0,7.0,1.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-08-20,2.0,,,,16-20,0.0056818181818181,1.0,0.0,near_top10
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,ru,blog,True,200.0,,11-20,ai_general,informational,ru,False,28.0,1.0,как поговорить с ии (1c/2i/p14.5) | пообщаться с ии (0c/5i/p7.4) | как пообщаться с искусственным интеллектом (0c/4i/p14.5) | какие есть чаты ии (0c/3i/p97.7) | общение с ии (0c/3i/p62.7),3,155,0.0193548387096774,19.01935483870968,1,39,0.0256410256410256,10.17948717948718,2.0,200.0,116.0,297.4,-0.0063,8.84,worsened,both,4,208,0.0192307692307692,18.072115384615383,0,0,4,208,18.072115384615383,2,42,18.02380952380953,пообщаться с ии,5.0,7.4,https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,False,False,https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,True,ru,Чат с ИИ: где пообщаться с искусственным интеллектом,52.0,"Где пообщаться с ИИ на русском: обзор чатов с искусственным интеллектом, доступных в Узбекистане, — от ChatGPT до Telegram-ботов, и что выбрать под свою задачу.",160.0,Чат с ИИ: где пообщаться с искусственным интеллектом,1.0,7.0,581.0,6.0,3.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-07-27,1.0,,,,16-20,0.0056818181818181,3.41,0.0,near_top10
