id,priority,title,problem,evidence,url,queries,current_metrics,cause,fix,files,risk,effort,dependencies,acceptance_criteria,measurement,recheck_date
T01,P1,Сниппет статьи входа под «kirish / ochish»,"Title/H1/description используют «login», запросы содержат «kirish»/«ochish»; CTR 0,32% при позиции 7,4","query__last28: chatgpt kirish 24641 показов/80 кликов; page 25244/95, CTR 0,38% vs медиана страниц поз.7–10 0,64% и запросов 0,85%",https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,"chatgpt kirish; chatgpt ochish; chatgpt online kirish; chatgpt ga kirish; chatgpt ochish uzbek tilida","clicks 95, impressions 25244, ctr 0.0038, position 7.16 (28d)",Несовпадение слов сниппета с языком запроса; навигационный интент,"title «ChatGPT kirish (login): rasmiy sayt, ochish va ro‘yxatdan o‘tish», H1 с «kirish va ochish», description начиная с «ChatGPT’ga kirish va ochish», прямой ответ в intro, H2 «ChatGPT ochish: 3 qadam»","content/blog/uz/chatgptga-qanday-kirish-mumkin.json; docs/seo/evidence/2026-09-14/reviewed-protected-pages.json",низкий-средний (лидер по показам; менять только сниппет и intro),1 день,Одобрение владельца; релиз через release CLI,"HTML содержит новые title/H1/description; seo-protection check зелёный; title ≤ 65","CTR запроса chatgpt kirish и страницы за 28 дней после краула; успех ≥ 0,6%; откат < 0,3% при той же позиции",2026-10-20
T02,P1,Развести VPNsiz-статью и статью входа,"Title VPNsiz-статьи начинается с «ChatGPT’ga kirish», делит kirish-запросы; CTR 0,31%","query_page__last90: chatgpt ga kirish 95/25, chatgpt online kirish 101/28/17, chatgpt 4 uzbek tilida 90/21; page 2246 показов/7 кликов",https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,"chatgpt ga kirish; chatgpt online kirish; chatgpt 4 uzbek tilida","clicks 7, impressions 2246, ctr 0.0031, position 8.42",Два URL с одинаковым интентом «войти»,"title «ChatGPT O‘zbekistonda ishlaydimi? VPNsiz va rasmiy usul (2026)», H1 без «kirish», раздел про вход → 2 предложения + ссылка на login-статью с якорем «ChatGPT’ga kirish»","content/blog/uz/chatgpt-ozbekistonda-vpnsiz-ishlaydimi.json; docs/seo/evidence/2026-09-14/reviewed-protected-pages.json",низкий,0.5 дня,T01 (одна волна),"В title/H1 нет «kirish»; есть ссылка на login-статью","Доля login-статьи по kirish/ochish-запросам ≥ 80% (query_page), клики кластера ≥ базы",2026-10-20
T03,P1,Узбекский чат: «kirish» и «uzbekcha» в title,"Title без «kirish» и «uzbekcha» при крупнейших запросах страницы с этими словами","query_page__last28: chatgpt bepul kirish 2206 (CTR 0,5%), chatgpt kirish uzbek tilida 2014 (0,4%), chatgpt uzbekcha 984, chatgpt uzbekcha bepul 967, chatgpt 4 uzbek tilida 112 (0 кликов)",https://gptbot.uz/uz/gpt-uzbek-tilida/,"chatgpt bepul kirish; chatgpt kirish uzbek tilida; chatgpt uzbekcha; chatgpt uzbekcha bepul; chatgpt uzbek tilida; chatgpt 4 uzbek tilida","clicks 119, impressions 14130, ctr 0.0084, position 6.79",Слова запроса отсутствуют в сниппете,"title «ChatGPT o‘zbek tilida (uzbekcha) — bepul kirish, ro‘yxatsiz chat», description с «uzbekcha online: bepul kirish», первый абзац с написаниями uzbekcha/o‘zbekcha, H2 про ChatGPT 4 / bepul","content/pages/uz/gpt-uzbek-tilida.json; docs/seo/evidence/2026-09-14/reviewed-protected-pages.json",низкий-средний,0.5 дня,Одобрение владельца,"title ≤ 65 с «kirish» и «uzbekcha»; hreflang-пара не изменена","CTR chatgpt kirish uzbek tilida ≥ 0,9%, chatgpt bepul kirish ≥ 0,7%; доля UZ-страницы по chatgpt uzbekcha online растёт",2026-10-20
T04,P1,RU-чат: явная ссылка на узбекскую версию,"25 узбекских запросов приземляются на русскую страницу чата (русский title)","language_mismatch.csv: 25 пар, 3199 показов, 35 кликов; chatgpt uzbekcha online 1011 (CTR 0,7%), jaji piti online 612, chatgpt yozish 209",https://gptbot.uz/ru/gpt-chat/,"chatgpt uzbekcha online; jaji piti online; chatgpt uzbekcha скачать; chatgpt yozish; chatgpt ozbekcha; chatgpt узбекча","uz-пары: clicks 35, impressions 3199 (28d); page total clicks 117, impressions 5512",Google выбирает RU-страницу для узбекских написаний; нет явного указателя на UZ-версию в теле,"Текстовая ссылка «ChatGPT o‘zbek tilida — o‘zbekcha versiya» над чатом на /uz/gpt-uzbek-tilida/; description RU-страницы без акцента на узбекский чат; canonical/hreflang не трогать","content/pages/ru/gpt-chat.json (+ при необходимости scripts/prerender.ts hero); docs/seo/evidence/2026-09-14/reviewed-protected-pages.json",низкий,0.5 дня,—,"В HTML до чата есть <a href=/uz/gpt-uzbek-tilida/>","Доля /uz/gpt-uzbek-tilida/ по 10 крупнейшим uz-запросам; клики пары не падают",2026-10-20
T05,P2,301 для двух 404 с показами,"Два URL с показами отдают 404","page__all16m: /ru/gpt-vs-chatgpt-sravnesie/ 1 клик; /uz/blog/chatgpt-telefon-va-kompyuter-ga-yuklab-olish/ 1 показ; HTTP 404; URL Inspection: unknown to Google",https://gptbot.uz/ru/gpt-vs-chatgpt-sravnesie/,—,"1 клик / 1 показ",Опечатка в внешней ссылке; вариант слага,"Добавить два правила 301 в redirects.json на …sravnenie/ и …kompyuterga-yuklab-olish/",content/seo/redirects.json,нулевой,0.2 дня,—,"curl -I → 301 на целевые URL; dist/_redirects содержит правила","Исчезновение 404 в GSC pages",2026-10-05
T06,P2,Sitemap: один источник правды,"Три sitemap (289+5+18), два статических без lastmod; для 8 из 31 проиндексированных URL Google не связывает sitemap","HTTP: sitemap-new.xml 5 URL, sitemap-priority.xml 18 URL; robots.txt объявляет три; url_inspection.json: inSitemapPerGoogle пуст у /ru/stoimost-chat-bota/, /uz/chat-bot-narxi/, /ru/seo-…, /ru/smm-…, /ru/telegram-bot-dlya-biznesa/, /ru/, /uz/",https://gptbot.uz/sitemap.xml,—,—,Статические файлы не регенерируются; дубли объявлений,"Убрать статические файлы и строки Sitemap из robots-policy/generate-robots, либо генерировать priority из контента с lastmod; submissions в GSC — решение владельца","public/sitemap-new.xml; public/sitemap-priority.xml; src/shared/robots-policy.ts:96-97; scripts/generate-robots.ts:270; scripts/generate-sitemap.ts; tests/gsc-indexation-hygiene.test.ts",низкий,0.5 дня,Решение владельца по GSC-submissions; не в один релиз с T01–T04,"robots.txt содержит только актуальные sitemap; каждый URL с lastmod","Sitemap per Google у ключевых URL через 4 недели",2026-10-27
T07,P2,Перекраул /ru/telegram-bot-uzbekistan/,"Google видел 404 (23.08), сейчас 301","url_inspection.json: coverageState Not found (404), referring sitemap.xml; HTTP 301 → /ru/telegram-bot-dlya-biznesa/",https://gptbot.uz/ru/telegram-bot-uzbekistan/,—,"20 показов за историю, поз. 10,2",Редирект добавлен после последнего краула,"Ручное: URL Inspection в GSC → Request indexing (по разрешению владельца)",—,нулевой,0.1 дня,Разрешение владельца,"coverageState ≠ 404","Статус через 2–4 недели",2026-10-13
T08,P2,Индексация /ru/promty-gpt-chatgpt-50-primerov/,"Crawled – currently not indexed с 13.07; UZ-пара получает 478 показов/14 кликов","url_inspection.json; page__last28: /uz/blog/chatgpt-uzbek-tilida-promptlar/ 478/14; RU-страница 0 показов за 16 мес.",https://gptbot.uz/ru/promty-gpt-chatgpt-50-primerov/,"промпты для chatgpt; промты gpt (в данных отсутствуют)","0 показов",Низкая уникальность/ценность для Google; мало контекстных ссылок,"Уникальные RU-промпты с примерами результатов; ссылки из /ru/gpt-chat/ и /ru/blog/chat-gpt-na-russkom/; затем ручной запрос индексации","content/pages/ru/promty-gpt-chatgpt-50-primerov.json; content/pages/ru/gpt-chat.json; content/blog/ru/chat-gpt-na-russkom.json",низкий,1–2 дня,—,"≥ 2 контекстных входящих ссылки; статус indexed","URL Inspection через 3–4 недели; показы через 60 дней",2026-11-01
T09,P2,«kompyuter» в title статьи о скачивании,"Запросы про компьютер без кликов; CTR страницы ниже медианы диапазона","query_page__last28: chatgpt yuklab olish kompyuter uchun 132/0 (7,2), chatgpt uzbek tilida skachat 100/0, chatgpt o'rnatish 69/1; page CTR 1,76% vs 2,12%",https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,"chatgpt yuklab olish kompyuter uchun; chatgpt uzbek tilida skachat; chatgpt o'rnatish","clicks 337, impressions 19110, ctr 0.0176, position 5.61","Слово «kompyuter» только в URL/H1, не в title","title «ChatGPT yuklab olish o‘zbek tilida — telefon va kompyuter uchun (2026)», description + Windows/macOS, сокращение блока входа со ссылкой на login-статью","content/blog/uz/chatgpt-telefon-va-kompyuterga-yuklab-olish.json; docs/seo/evidence/2026-09-14/reviewed-protected-pages.json",средний (40% всех кликов),0.5 дня,Вердикт по T01–T04 (≥ 3 недели),"title ≤ 70; H1 без изменений","CTR страницы ≥ 2,0% при той же позиции; откат при −15% кликов при тех же показах",2026-11-20
T10,P2,Единая страница «Разработка чат-ботов в Ташкенте»,"3–4 RU-страницы делят коммерческий кластер; title целевой страницы информационный","cannibalization_candidates.csv: разработка чат ботов ташкент 37/90д (luchshie 15 поз.17,9; stoimost 5 поз.73; ранее blog/razrabotka-chat-bota); country_query_top: из UZB 23 показа поз.42,9; чат бот на заказ ташкент 25 поз.45,4",https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/,"разработка чат ботов ташкент; чат бот на заказ ташкент; toshkentda chat bot yaratish","страница: 68 показов/1 клик за 16 мес., поз. 18,5",Нет одной коммерческой страницы на кластер; кейсы в блоге,"title/H1 «Разработка чат-ботов в Ташкенте — Telegram, Instagram, AI»; блок цен → /ru/stoimost-chat-bota/; блок кейсов Cake City и Graver; ссылки с 3 страниц с точным якорем","content/pages/ru/luchshie-razrabotchiki-chat-botov-tashkent.json; content/pages/ru/stoimost-chat-bota.json; content/pages/ru/razrabotka-telegram-bota-tashkent.json; content/blog/ru/razrabotka-chat-bota.json",низкий,2 дня,Подтверждение фактов кейсов владельцем,"seo-audit без дублей; 3 входящих ссылки с якорем","Позиция/показы по кластеру из UZB через 8 недель",2026-11-20
