query,clicks,impressions,ctr,position,topic,topic_group,language,intent,is_brand,is_local,is_commercial_modifier,position_bucket,top_page_28d,top_page_impressions_28d
seo продвижение,0,228,0.0,60.280701754385966,seo,services_web,ru,commercial_investigation,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,228
chachipiti oʻzbek tilida,0,161,0.0,8.298136645962732,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,161
chatgpt online kirish,0,136,0.0,5.316176470588236,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,101
chatgpt yuklab olish kompyuter uchun,0,132,0.0,7.204545454545454,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,132
chatgpt ga kirish,0,122,0.0,7.991803278688525,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,95
chatgpt 4 uzbek tilida,0,112,0.0,9.116071428571429,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,90
seo продвижение сайтов,0,109,0.0,54.60550458715596,seo,services_web,ru,commercial_investigation,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,94
продвижение сайтов,0,103,0.0,52.81553398058252,seo,services_web,ru,commercial_investigation,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,92
chatgpt uzbek,0,102,0.0,6.598039215686274,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,99
chatgpt uzbek tilida skachat,0,100,0.0,7.67,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,60
лид это,0,99,0.0,24.444444444444443,leads_automation,services_bots,ru,informational,False,False,False,21-50,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,99
chatgpt узбекча,0,99,0.0,6.595959595959596,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,99
onlayn chatgpt,0,87,0.0,6.114942528735632,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,67
услуги смм специалиста,0,78,0.0,9.23076923076923,smm,services_marketing,ru,commercial,False,False,True,4-10,https://gptbot.uz/ru/blog/chto-vhodit-v-uslugi-smm-specialista/,76
чат-бот мастер для бизнеса,0,73,0.0,58.45205479452055,chatbot_dev,services_bots,ru,commercial_investigation,False,False,False,51+,https://gptbot.uz/ru/chat-bot-dlya-biznesa/,73
лид,0,63,0.0,28.80952380952381,leads_automation,services_bots,ru,commercial_investigation,False,False,False,21-50,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,63
что такое сео продвижение,0,61,0.0,64.90163934426229,seo,services_web,ru,informational,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,61
что такое seo продвижение,0,59,0.0,70.38983050847457,seo,services_web,ru,informational,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,59
бот для инстаграм директ,0,54,0.0,20.53703703703704,instagram_bots,services_bots,ru,commercial_investigation,False,False,False,21-50,https://gptbot.uz/ru/instagram-direct-bot/,39
чат жпт узбекча,0,51,0.0,6.686274509803922,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,50
сео продвижение,0,49,0.0,59.06122448979592,seo,services_web,ru,commercial_investigation,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,49
chatgpt.uz,0,49,0.0,5.020408163265306,chatgpt_online,chatgpt_product,neutral,transactional,False,True,False,4-10,https://gptbot.uz/ru/gpt-chat/,43
продвижение seo,0,49,0.0,64.87755102040816,seo,services_web,ru,commercial_investigation,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,49
продвижение сайта seo,0,49,0.0,58.69387755102041,seo,services_web,ru,commercial_investigation,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,49
chatgpt õzbekcha,0,48,0.0,7.125,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,47
seo продвижение это,0,44,0.0,62.20454545454545,seo,services_web,ru,informational,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,44
чат гпт на узбекском,0,44,0.0,4.772727272727273,chatgpt_online,chatgpt_product,ru,transactional,False,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,35
chat gpt uzbek tilida,0,44,0.0,5.363636363636363,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,44
chaji piti online,0,43,0.0,5.8604651162790695,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,43
chat gpt kirish,0,43,0.0,8.093023255813954,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,33
o'zbekistonda biznes uchun ai bot,0,40,0.0,17.875,chatbot_dev,services_bots,uz,commercial,False,True,False,11-20,https://gptbot.uz/uz/,11
жажипити,0,39,0.0,3.5128205128205128,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,39
chat chipiti online,0,37,0.0,6.297297297297297,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,37
chatgpt skachat qilish,0,37,0.0,8.702702702702702,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,37
chatgpt узбек тилида,0,35,0.0,7.3428571428571425,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,34
аудит сайта чек лист,0,35,0.0,67.45714285714286,seo,services_web,ru,informational,False,False,False,51+,https://gptbot.uz/ru/blog/seo-audit-sayta-chek-list/,35
chat gpt uzbek,0,34,0.0,5.0588235294117645,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,34
chpt yuklab olish,0,33,0.0,7.272727272727272,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,33
чат gpt узбек тилида,0,31,0.0,6.290322580645161,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,26
как работает seo продвижение сайтов,0,31,0.0,69.58064516129032,seo,services_web,ru,informational,False,False,False,51+,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,31
seo ташкент,0,30,0.0,38.266666666666666,seo,services_web,ru,commercial,False,True,False,21-50,https://gptbot.uz/ru/seo-prodvizhenie-saytov-tashkent/,29
