page,locale,page_type,in_sitemap,http_status,gsc_coverage_state,position_bucket_28d,dominant_topic_28d,dominant_intent_28d,dominant_query_language_28d,language_mismatch_flag,unique_queries_28d,queries_with_clicks_28d,top_queries_28d,current_clicks,current_impressions,current_ctr,current_position,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_prev90,impressions_prev90,clicks_all,impressions_all,position_all,clicks_7d,impressions_7d,position_7d,top_query_by_impressions,top_query_impressions,top_query_position,final_url,redirected,noindex,canonical,canonical_self,html_lang,title,title_len,description,description_len,h1,h1_count,h2_count,word_count,internal_link_count,inbound_internal_links,img_count,img_missing_alt,jsonld_types,jsonld_has_faq,jsonld_has_breadcrumb,jsonld_has_org,jsonld_has_service,jsonld_has_article,faq_heading,sitemap_lastmod,telegram_links,gsc_last_crawl,gsc_canonical_matches,gsc_in_sitemap
https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,ru,blog,True,200.0,,51+,seo,commercial_investigation,ru,False,105.0,0.0,seo продвижение (0c/228i/p60.3) | seo продвижение сайтов (0c/94i/p60.0) | продвижение сайтов (0c/92i/p55.2) | что такое сео продвижение (0c/61i/p64.9) | что такое seo продвижение (0c/59i/p70.4),0,1497,0.0,62.48430193720775,0,410,0.0,73.4219512195122,0.0,,1087.0,265.1,0.0,-10.94,improved,both,0,1907,0.0,64.83586785527007,0,0,0,1907,64.83586785527007,0,21,56.57142857142857,seo продвижение,228.0,60.280701754385966,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,False,False,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,True,ru,Что такое SEO-продвижение и как оно работает | GPTBot.uz,56.0,"SEO-продвижение простыми словами: как оно работает, что входит в оптимизацию сайта, какие этапы и метрики важны и когда бизнесу лучше выбрать рекламу.",150.0,Что такое SEO-продвижение сайта,1.0,14.0,1661.0,9.0,6.0,1.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-08-23,1.0,,,
https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,ru,blog,True,200.0,,21-50,leads_automation,informational,ru,False,121.0,0.0,лид это (0c/99i/p24.4) | лид (0c/63i/p28.8) | лид это в рекламе (0c/29i/p23.9) | что такое лид (0c/27i/p28.9) | лиды это (0c/24i/p31.0),0,1047,0.0,26.38013371537727,0,126,0.0,30.103174603174605,0.0,,921.0,731.0,0.0,-3.72,improved,both,0,1173,0.0,26.78005115089514,0,0,0,1173,26.78005115089514,0,95,27.0,лид это,99.0,24.444444444444443,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,False,False,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,True,ru,Что такое лид в маркетинге: виды и стоимость | GPTBot.uz,56.0,"Лид в маркетинге простыми словами: чем отличается от заявки, сделки и клиента, как устроена воронка, квалификация и расчёт CPL без путаницы.",140.0,Что такое лид в маркетинге,1.0,11.0,1608.0,11.0,7.0,1.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-08-20,1.0,,,
https://gptbot.uz/ru/blog/chto-takoe-smm-prodvizhenie/,ru,blog,True,200.0,,11-20,smm,commercial_investigation,ru,False,18.0,0.0,smm продвижение (0c/16i/p16.2) | смм продвижение (0c/15i/p11.7) | smm продвижение это (0c/13i/p21.8) | что такое смм продвижение сайта (0c/7i/p26.0) | что такое smm продвижение (0c/6i/p20.3),0,112,0.0,15.026785714285714,0,51,0.0,27.11764705882353,0.0,,61.0,119.6,0.0,-12.09,improved,both,0,163,0.0,18.80981595092025,0,0,0,163,18.80981595092025,0,4,7.75,smm продвижение,16.0,16.25,https://gptbot.uz/ru/blog/chto-takoe-smm-prodvizhenie/,False,False,https://gptbot.uz/ru/blog/chto-takoe-smm-prodvizhenie/,True,ru,Что такое SMM-продвижение и сколько оно стоит | GPTBot.uz,57.0,"SMM-продвижение простыми словами: что входит в услугу, чем отличается от таргета и SEO, сколько стоит и с чего начать бизнесу.",126.0,Что такое SMM-продвижение,1.0,10.0,1422.0,13.0,7.0,1.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-08-27,1.0,,,
https://gptbot.uz/ru/chat-bot-dlya-biznesa/,ru,landing,True,200.0,,51+,chatbot_dev,commercial_investigation,ru,False,5.0,0.0,чат-бот мастер для бизнеса (0c/73i/p58.5) | чат-бот майстер для бізнесу (0c/29i/p85.7) | чат бот на заказ ташкент (0c/3i/p93.7) | o'zbekistonda biznes uchun ai bot (0c/1i/p76.0) | чат бот для бизнеса бишкек (0c/1i/p63.0),0,111,0.0,65.45945945945945,0,35,0.0,67.62857142857143,0.0,,76.0,217.1,0.0,-2.17,improved,both,0,173,0.0,61.74566473988439,0,8,0,181,60.12154696132597,0,47,59.659574468085104,чат-бот мастер для бизнеса,73.0,58.45205479452055,https://gptbot.uz/ru/chat-bot-dlya-biznesa/,False,False,https://gptbot.uz/ru/chat-bot-dlya-biznesa/,True,ru,Чат-бот для бизнеса — поддержка клиентов 24/7 | GPTBot,54.0,"Чат-бот для бизнеса автоматизирует поддержку клиентов в Telegram и Instagram: отвечает на частые вопросы, принимает заявки 24/7 и разгружает менеджеров.",152.0,Чат-бот для бизнеса в Telegram и Instagram,1.0,12.0,758.0,20.0,27.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Service|FAQPage",True,True,True,True,False,True,2026-06-25,1.0,,,
https://gptbot.uz/ru/ai-bot-s-crm-amocrm-bitrix24/,ru,landing,True,200.0,,4-10,chatbot_dev,commercial_investigation,en,False,1.0,0.0,bitrich ai bot (0c/1i/p9.0),0,107,0.0,7.616822429906542,0,13,0.0,61.30769230769231,0.0,,94.0,723.1,0.0,-53.69,improved,both,0,129,0.0,16.232558139534884,0,0,0,129,16.232558139534884,0,53,5.566037735849057,bitrich ai bot,1.0,9.0,https://gptbot.uz/ru/ai-bot-s-crm-amocrm-bitrix24/,False,False,https://gptbot.uz/ru/ai-bot-s-crm-amocrm-bitrix24/,True,ru,AI-бот с AmoCRM и Bitrix24: передача лидов | GPTBot,51.0,"AI-бот собирает согласованные данные в мессенджере и передаёт лид в AmoCRM или Bitrix24. Scope включает поля, дедупликацию, повторы, мониторинг и восстановление.",161.0,AI-бот с интеграцией AmoCRM и Bitrix24,1.0,16.0,1488.0,22.0,48.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Service|FAQPage",True,True,True,True,False,True,2026-08-31,1.0,,,
https://gptbot.uz/uz/gpt-uzbek-tilida-ai-chat/,uz,landing,True,200.0,,4-10,other,unknown,uz,False,3.0,0.0,oddiy so'rov uzbek tilida (0c/6i/p10.3) | chatgpt uzbek tilida (0c/3i/p31.0) | chat gpt kodlari (0c/2i/p6.5),0,97,0.0,7.804123711340206,0,47,0.0,8.46808510638298,0.0,,50.0,106.4,0.0,-0.66,improved,both,0,144,0.0,8.020833333333332,0,0,0,144,8.020833333333332,0,19,6.684210526315789,oddiy so'rov uzbek tilida,6.0,10.333333333333334,https://gptbot.uz/uz/gpt-uzbek-tilida-ai-chat/,False,False,https://gptbot.uz/uz/gpt-uzbek-tilida-ai-chat/,True,uz,GPT o‘zbek tilida: prompt yozish va ishlatish qo‘llanmasi,57.0,"GPT o‘zbek tilida qanday ishlaydi: yaxshi prompt yozish, tarjima, o‘qish, marketing va biznes uchun amaliy misollar hamda xavfsizlik qoidalari.",143.0,GPT o‘zbek tilida: AI chatdan qanday foydalanish mumkin,1.0,13.0,1737.0,19.0,7.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Article|FAQPage",True,True,True,True,True,True,2026-08-27,1.0,,,
https://gptbot.uz/ru/instagram-direct-bot/,ru,landing,True,200.0,Submitted and indexed,11-20,instagram_bots,commercial_investigation,ru,False,4.0,0.0,бот для инстаграм директ (0c/39i/p17.3) | директ бот (0c/4i/p55.5) | bot direct instagram (0c/2i/p10.0) | чат бот директ инстаграм (0c/1i/p33.0),0,92,0.0,15.315217391304348,0,24,0.0,41.75,0.0,,68.0,283.3,0.0,-26.43,improved,both,0,145,0.0,24.99310344827586,0,20,0,165,23.939393939393938,0,36,11.27777777777778,бот для инстаграм директ,39.0,17.307692307692307,https://gptbot.uz/ru/instagram-direct-bot/,False,False,https://gptbot.uz/ru/instagram-direct-bot/,True,ru,Бот для Instagram Direct — подключение под бизнес,49.0,"Подключаем бота для Instagram Direct через официальный API: ответы на сообщения и комментарии, сбор заявок, передача менеджеру или в CRM.",137.0,Instagram Direct бот для бизнеса: подключение под ваш аккаунт,1.0,13.0,730.0,19.0,31.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Service|FAQPage",True,True,True,True,False,True,2026-08-20,1.0,2026-09-06T07:29:06Z,True,['sitemap.xml']
https://gptbot.uz/ru/blog/chto-takoe-ai-menedzher-i-kak-on-rabotaet/,ru,blog,True,200.0,,21-50,other,unknown,ru,False,11.0,0.0,ай менеджер (0c/17i/p22.5) | ai менеджер (0c/12i/p32.4) | ии менеджер (0c/11i/p50.4) | аи менеджер (0c/6i/p26.3) | как работает ии менеджер (0c/4i/p46.8),0,85,0.0,25.294117647058822,0,30,0.0,32.96666666666667,0.0,,55.0,183.3,0.0,-7.67,improved,both,0,121,0.0,27.37190082644628,0,0,0,121,27.37190082644628,0,12,12.916666666666666,ай менеджер,17.0,22.47058823529412,https://gptbot.uz/ru/blog/chto-takoe-ai-menedzher-i-kak-on-rabotaet/,False,False,https://gptbot.uz/ru/blog/chto-takoe-ai-menedzher-i-kak-on-rabotaet/,True,ru,Что такое AI-менеджер и как он работает в продажах,50.0,"Что такое AI-менеджер простыми словами: как он обрабатывает заявки в мессенджерах, чем отличается от AI-бота и автоответчика, когда он окупается в Узбекистане.",159.0,Что такое AI-менеджер и как он работает,1.0,8.0,613.0,7.0,4.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-07-27,1.0,,,
https://gptbot.uz/ru/blog/telegram-ads-ili-posevy-v-kanalah/,ru,blog,True,200.0,,21-50,telegram_ads,commercial_investigation,ru,False,18.0,0.0,біржа реклами в telegram (0c/6i/p54.7) | біржа реклами в телеграм каналах (0c/6i/p53.5) | реклама у телеграм біржа (0c/6i/p42.5) | біржа реклами у телеграм каналах (0c/5i/p47.6) | біржа реклами у телеграмі (0c/5i/p60.8),0,85,0.0,40.38823529411765,0,0,,,0.0,,85.0,,0.0,,n/a,new,0,85,0.0,40.38823529411765,0,0,0,85,40.38823529411765,0,23,46.47826086956522,біржа реклами в telegram,6.0,54.66666666666666,https://gptbot.uz/ru/blog/telegram-ads-ili-posevy-v-kanalah/,False,False,https://gptbot.uz/ru/blog/telegram-ads-ili-posevy-v-kanalah/,True,ru,"Купить рекламу в телеграм: биржи, посевы и Telegram Ads",55.0,"Как купить рекламу в телеграм-каналах: чем биржа отличается от прямого посева, что проверить в канале до оплаты и когда официальная платформа выгоднее.",151.0,Telegram Ads или посевы в каналах: что выбрать бизнесу в Узбекистане,1.0,10.0,2413.0,7.0,10.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-08-26,4.0,,,
https://gptbot.uz/ru/blog/pochemu-reklama-v-instagram-ne-prinosit-zayavki/,ru,blog,True,200.0,,4-10,,,,False,,,,0,84,0.0,6.630952380952381,0,5,0.0,5.8,0.0,,79.0,1580.0,0.0,0.83,worsened,both,0,89,0.0,6.584269662921348,0,0,0,89,6.584269662921348,0,10,8.9,,,,https://gptbot.uz/ru/blog/pochemu-reklama-v-instagram-ne-prinosit-zayavki/,False,False,https://gptbot.uz/ru/blog/pochemu-reklama-v-instagram-ne-prinosit-zayavki/,True,ru,Почему реклама в Instagram не приносит заявки,45.0,"Почему клики из Instagram не превращаются в заявки: проверяем оффер, креатив, профиль, Direct, скорость ответа, CRM и аналитику по шагам.",137.0,Почему реклама в Instagram не приносит заявки: 15 причин и как исправить воронку,1.0,23.0,4180.0,22.0,11.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-08-27,1.0,,,
