query,page,clicks_28d,impressions_28d,ctr_28d,position_28d,topic,topic_group,language,intent,is_brand,is_local,is_commercial_modifier,position_bucket,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_prev28,impressions_prev28,position_prev28,page_locale,page_type,language_mismatch
chatgpt yuklab olish uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,174,9601,0.018123112175815,4.674408915737944,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,185,11477,0.0161191949115622,5.249978217304173,11.0,1876.0,8.195628997867804,uz,blog,False
chatgpt kirish,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,74,21142,0.0035001418976444,7.225853750827736,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,74,21142,0.0035001418976444,7.225853750827736,,,,uz,blog,False
chatgpt ilovasini yuklab olish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,54,1930,0.0279792746113989,5.722279792746114,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,57,2240,0.0254464285714285,5.936607142857143,3.0,310.0,7.2709677419354835,uz,blog,False
chatgpt yuklab olish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,48,3732,0.0128617363344051,7.064844587352626,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,50,3862,0.0129466597617814,6.988089073019161,2.0,130.0,4.7846153846153845,uz,blog,False
chatgpt bepul kirish,https://gptbot.uz/uz/gpt-uzbek-tilida/,11,2205,0.0049886621315192,8.41904761904762,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,11,2205,0.0049886621315192,8.41904761904762,,,,uz,landing,False
chatgpt ochish,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,11,1855,0.0059299191374663,5.940700808625337,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,11,1855,0.0059299191374663,5.940700808625337,,,,uz,blog,False
chatgpt ochish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,9,1193,0.0075440067057837,6.271584241408215,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,10,1287,0.0077700077700077,6.485625485625485,1.0,94.0,9.202127659574469,uz,blog,False
chatgpt uzbekcha bepul,https://gptbot.uz/uz/gpt-uzbek-tilida/,9,939,0.0095846645367412,5.326943556975506,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,9,939,0.0095846645367412,5.326943556975506,,,,uz,landing,False
chatgpt uz,https://gptbot.uz/ru/gpt-chat/,9,368,0.0244565217391304,4.4375,chatgpt_online,chatgpt_product,neutral,transactional,False,True,False,4-10,9,474,0.0189873417721519,4.69831223628692,0.0,106.0,5.60377358490566,ru,landing,False
chatgpt uzbek tilida online,https://gptbot.uz/uz/gpt-uzbek-tilida/,8,665,0.0120300751879699,5.738345864661654,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,8,708,0.0112994350282485,5.8107344632768365,0.0,43.0,6.930232558139535,uz,landing,False
