page,lost_queries,lost_queries_impressions_prev28,examples
https://gptbot.uz/ru/razrabotka-sayta-pod-klyuch/,2,29,разработка сайта под ключ | создание сайта под ключ
https://gptbot.uz/ru/razrabotka-saytov-tashkent/,2,18,разработка сайта узбекистан | создание сайтов ташкент
https://gptbot.uz/ru/sozdanie-sayta-dlya-biznesa/,1,17,сайт для бизнеса
https://gptbot.uz/ru/blog/chat-bot-dlya-sayta-kak-dobavit-i-skolko-stoit/,2,12,как сделать бот для сайта | як зробити бот для сайту
https://gptbot.uz/ru/blog/ai-bot-dlya-salona-krasoty-zadachi/,1,11,ии для салона красоты
https://gptbot.uz/ru/blog/chat-bot-dlya-sayta/,1,10,ai бот для сайта
https://gptbot.uz/ru/bot-dlya-obrabotki-zayavok/,1,10,прием и обработка заявок
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,1,9,ии для салона красоты
https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,1,7,seo поисковое продвижение
https://gptbot.uz/ru/blog/seo-audit-sayta-chek-list/,1,5,чек лист технического аудита сайта
