page,locale,page_type,in_sitemap,http_status,gsc_coverage_state,position_bucket_28d,dominant_topic_28d,dominant_intent_28d,dominant_query_language_28d,language_mismatch_flag,unique_queries_28d,queries_with_clicks_28d,top_queries_28d,current_clicks,current_impressions,current_ctr,current_position,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_prev90,impressions_prev90,clicks_all,impressions_all,position_all,clicks_7d,impressions_7d,position_7d,top_query_by_impressions,top_query_impressions,top_query_position,final_url,redirected,noindex,canonical,canonical_self,html_lang,title,title_len,description,description_len,h1,h1_count,h2_count,word_count,internal_link_count,inbound_internal_links,img_count,img_missing_alt,jsonld_types,jsonld_has_faq,jsonld_has_breadcrumb,jsonld_has_org,jsonld_has_service,jsonld_has_article,faq_heading,sitemap_lastmod,telegram_links,gsc_last_crawl,gsc_canonical_matches,gsc_in_sitemap
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,uz,blog,True,200.0,Submitted and indexed,4-10,chatgpt_download,navigational,uz,False,38.0,14.0,chatgpt yuklab olish uzbek tilida (174c/9601i/p4.7) | chatgpt ilovasini yuklab olish (54c/1930i/p5.7) | chatgpt yuklab olish (48c/3732i/p7.1) | chatgpt ochish (9c/1193i/p6.3) | chat gpt yuklash (7c/613i/p7.2),337,19110,0.0176347462061747,5.606802721088435,19,2607,0.0072880705792098,7.843498273878021,318.0,1673.7,16503.0,633.0,0.0103,-2.24,improved,both,356,21717,0.0163926877561357,5.875305060551642,0,0,356,21717,5.875305060551642,162,8260,5.193583535108959,chatgpt yuklab olish uzbek tilida,9601.0,4.674408915737944,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,False,False,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,True,uz,ChatGPT yuklab olish o‘zbek tilida — 3 usul (2026),50.0,"ChatGPT’ni telefonga va kompyuterga yuklab olish: Play Market, App Store va brauzer — 3 ta usul, bepul, 3 daqiqada. Birinchi sozlash, keng tarqalgan xatolar va ularning yechimi.",177.0,ChatGPT yuklab olish: telefon va kompyuterga xavfsiz o‘rnatish,1.0,10.0,1166.0,15.0,10.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-01,1.0,2026-09-10T12:44:13Z,True,['sitemap.xml']
https://gptbot.uz/uz/gpt-uzbek-tilida/,uz,landing,True,200.0,Submitted and indexed,4-10,chatgpt_login,navigational,uz,False,81.0,26.0,chatgpt bepul kirish (11c/2205i/p8.4) | chatgpt uzbekcha bepul (9c/939i/p5.3) | chatgpt uzbek tilida online (8c/665i/p5.7) | chatgpt kirish uzbek tilida (7c/1920i/p5.9) | chatgpt uzbek tilida gaplashish (6c/638i/p7.0),119,14130,0.0084217975937721,6.794904458598726,8,420,0.019047619047619,6.966666666666667,111.0,1387.5,13710.0,3264.3,-0.0106,-0.17,stable,both,128,14570,0.0087851750171585,6.800823610157859,0,0,128,14570,6.800823610157859,45,6364,6.749842866121936,chatgpt bepul kirish,2205.0,8.41904761904762,https://gptbot.uz/uz/gpt-uzbek-tilida/,False,False,https://gptbot.uz/uz/gpt-uzbek-tilida/,True,uz,"ChatGPT o‘zbek tilida online — bepul, ro‘yxatsiz, VPNsiz",56.0,"ChatGPT o‘zbek tilida: bepul AI chat brauzerda, ro‘yxatdan o‘tmasdan. Kirish — bir necha soniyada, javob o‘zbekcha, telefon va kompyuterda ishlaydi.",148.0,ChatGPT o‘zbek tilida online,1.0,13.0,1313.0,23.0,23.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|FAQPage|SoftwareApplication",True,True,True,True,False,False,2026-09-04,1.0,2026-09-13T08:49:07Z,True,['sitemap.xml']
https://gptbot.uz/ru/gpt-chat/,ru,landing,True,200.0,Submitted and indexed,4-10,chatgpt_online,transactional,uz,True,121.0,19.0,chatgpt uz (9c/368i/p4.4) | chatgpt uzbekcha online (7c/1011i/p5.0) | jaji piti online (4c/612i/p6.9) | chatgpt bepul (4c/223i/p6.1) | чат джипити узбекча (4c/38i/p6.3),117,5512,0.0212264150943396,5.671625544267053,11,505,0.0217821782178217,5.928712871287129,106.0,963.6,5007.0,991.5,-0.0006,-0.26,stable,both,128,6040,0.0211920529801324,5.696192052980132,0,0,128,6040,5.696192052980132,61,2723,5.94638266617701,chatgpt uzbekcha online,1011.0,5.0,https://gptbot.uz/ru/gpt-chat/,False,False,https://gptbot.uz/ru/gpt-chat/,True,ru,ChatGPT онлайн бесплатно в Узбекистане — без регистрации,56.0,"ChatGPT онлайн в Узбекистане без регистрации и VPN: русский и узбекский AI-чат прямо в браузере. Тексты, перевод, учёба и работа — бесплатно.",141.0,Chat GPT онлайн в Узбекистане,1.0,4.0,633.0,15.0,23.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|FAQPage|SoftwareApplication",True,True,True,True,False,False,2026-09-04,1.0,2026-09-14T02:10:26Z,True,['sitemap.xml']
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,uz,blog,True,200.0,Submitted and indexed,4-10,chatgpt_login,navigational,uz,False,19.0,5.0,chatgpt kirish (74c/21142i/p7.2) | chatgpt ochish (11c/1855i/p5.9) | chatgpt kirish login (3c/111i/p6.1) | chatgpt kirish uzbek tilida (1c/959i/p9.8) | chatgptga kirish (1c/64i/p3.7),95,25244,0.003763270480114,7.164276659800349,0,0,,,95.0,,25244.0,,0.0038,,n/a,new,95,25244,0.003763270480114,7.164276659800349,0,0,95,25244,7.164276659800349,43,12918,7.397662176807556,chatgpt kirish,21142.0,7.225853750827736,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,False,False,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,True,uz,"ChatGPT login: rasmiy sayt, ro‘yxatdan o‘tish va xatolar",56.0,"ChatGPT login va Sign up: rasmiy domenni tekshirish, hisob ochish, kod kelmasa nima qilish, klon saytlardan saqlanish. O‘zbekiston uchun 2026 qo‘llanmasi.",154.0,ChatGPT login va ro‘yxatdan o‘tish: rasmiy sayt va keng tarqalgan xatolar,1.0,10.0,829.0,12.0,8.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-04,1.0,2026-09-04T11:35:30Z,True,"['sitemap-new.xml', 'sitemap.xml']"
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,ru,blog,True,200.0,Submitted and indexed,4-10,chatgpt_payment,informational,ru,False,12.0,1.0,как оплатить чат gpt в узбекистане (5c/22i/p1.8) | оплатить chatgpt (0c/2i/p4.0) | chatgpt uzbekistan (0c/1i/p10.0) | chatgpt оплата (0c/1i/p3.0) | gpt оплата (0c/1i/p2.0),46,386,0.1191709844559585,3.904145077720208,8,75,0.1066666666666666,3.653333333333333,38.0,475.0,311.0,414.7,0.0125,0.25,stable,both,54,461,0.1171366594360086,3.8633405639913234,0,0,54,461,3.8633405639913234,13,134,4.059701492537314,как оплатить чат gpt в узбекистане,22.0,1.8181818181818183,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,False,False,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,True,ru,Как оплатить ChatGPT в Узбекистане в 2026 году,46.0,"Как оплачивать ChatGPT Plus в Узбекистане: официальный checkout, банковская карта, App Store и Google Play, ошибки платежа и защита от посредников.",147.0,"Как оплатить ChatGPT в Узбекистане: карты, приложения и ошибки платежа",1.0,10.0,1068.0,10.0,2.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-07-30,1.0,2026-09-09T19:39:42Z,True,['sitemap.xml']
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,ru,blog,True,200.0,Submitted and indexed,4-10,chatgpt_payment,informational,ru,False,13.0,0.0,как оплатить чат gpt в узбекистане (0c/21i/p1.6) | chatgpt на узбекском (0c/2i/p6.5) | я в узбекистане (0c/2i/p1.5) | chatgpt plus price uzbekistan (0c/1i/p1.0) | chatgpt uz (0c/1i/p7.0),38,706,0.0538243626062322,3.855524079320113,23,308,0.0746753246753246,4.597402597402597,15.0,65.2,398.0,129.2,-0.0209,-0.74,improved,both,63,1075,0.0586046511627907,4.236279069767441,0,0,63,1075,4.236279069767441,10,209,3.684210526315789,как оплатить чат gpt в узбекистане,21.0,1.619047619047619,https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,False,False,https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,True,ru,"ChatGPT и Claude в Узбекистане 2026: доступ, оплата, сравнение",62.0,"ChatGPT и Claude в Узбекистане: работают ли без VPN, как зайти, оплатить и выбрать сервис. Сравнение с Gemini и правила безопасности.",133.0,"ChatGPT и Claude в Узбекистане: доступ, оплата и сравнение",1.0,10.0,1937.0,11.0,3.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-06,1.0,2026-08-31T11:09:13Z,True,[]
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,uz,blog,True,200.0,Submitted and indexed,4-10,chatgpt_prompts,informational,uz,False,10.0,2.0,chatgpt uchun prompt (1c/40i/p7.6) | chat gpt uchun prompt (1c/13i/p3.2) | chatgpt uzbek tilida gaplashish (0c/21i/p9.7) | chat gpt promtlar (0c/5i/p2.6) | chatgpt savol javob (0c/2i/p1.0),14,478,0.0292887029288702,6.169456066945607,2,57,0.0350877192982456,6.4035087719298245,12.0,600.0,421.0,738.6,-0.0058,-0.23,stable,both,16,535,0.0299065420560747,6.194392523364486,0,0,16,535,6.194392523364486,3,141,5.851063829787234,chatgpt uchun prompt,40.0,7.625,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,False,False,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,True,uz,ChatGPT uchun o‘zbek tilida 50 ta tayyor prompt,47.0,"O‘qish, ish, marketing, savdo va kundalik vazifalar uchun o‘zbek tilida 50 ta tayyor ChatGPT prompt. Nusxalang, moslang va aniqroq javob oling.",143.0,ChatGPT uchun o‘zbek tilida 50 ta tayyor prompt,1.0,10.0,1383.0,14.0,13.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-01,1.0,2026-09-09T18:47:34Z,True,['sitemap.xml']
https://gptbot.uz/,root,home,True,200.0,Submitted and indexed,11-20,brand,navigational,neutral,False,14.0,1.0,gptbot (6c/7i/p1.0) | gpt bot (0c/6i/p1.7) | чат бот на заказ ташкент (0c/3i/p66.3) | ai67067 (0c/2i/p9.5) | разработка чат ботов ташкент (0c/2i/p82.0),12,105,0.1142857142857142,11.314285714285717,5,56,0.0892857142857142,12.803571428571429,7.0,140.0,49.0,87.5,0.025,-1.49,improved,both,23,216,0.1064814814814814,10.00925925925926,0,43,23,259,9.135135135135137,3,37,8.621621621621621,gptbot,7.0,1.0,https://gptbot.uz/,False,False,https://gptbot.uz/,True,ru,GPTBot — AI-бот для бизнеса в Узбекистане | Telegram,52.0,"GPTBot — AI/GPT-менеджер для Instagram и Telegram. Отвечает клиентам 24/7, собирает имя, телефон и передаёт горячие заявки менеджеру.",133.0,"GPTBot — AI-бот для бизнеса в Узбекистане, который не теряет заявки",1.0,4.0,2129.0,289.0,282.0,2.0,2.0,"['Organization', 'ProfessionalService']|Person|WebSite|WebPage|Service",False,False,True,True,False,False,2026-09-13,1.0,2026-09-06T22:30:30Z,True,['sitemap.xml']
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,uz,blog,True,200.0,Submitted and indexed,4-10,chatgpt_login,navigational,uz,False,11.0,2.0,chatgpt kirish (3c/1714i/p8.8) | chatgpt ochish (2c/193i/p6.5) | chatgpt kirish uzbek tilida (0c/64i/p8.0) | chatgpt ga kirish (0c/25i/p8.2) | chatgpt ochish uzbek tilida (0c/23i/p7.2),7,2246,0.0031166518254674,8.422974176313446,0,15,0.0,10.8,7.0,,2231.0,14873.3,0.0031,-2.38,improved,both,7,2261,0.0030959752321981,8.43874391862008,0,0,7,2261,8.43874391862008,0,237,8.084388185654008,chatgpt kirish,1714.0,8.79463243873979,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,False,False,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,True,uz,"ChatGPT’ga kirish O‘zbekistonda: 4 qadamda, VPNsiz",50.0,"ChatGPT’ga kirish: to‘g‘ridan-to‘g‘ri chatgpt.com orqali, VPN va qo‘shimcha dastursiz. 4 qadam, hisob ochish, o‘zbek tilida yozish, keng tarqalgan xatolar va yechimlari.",169.0,ChatGPT O‘zbekistonda: VPNsiz ochish va kirish,1.0,14.0,2034.0,19.0,10.0,2.0,1.0,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-01,1.0,2026-09-04T11:33:29Z,True,['sitemap.xml']
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,ru,landing,True,200.0,Submitted and indexed,4-10,chatgpt_online,transactional,ru,False,23.0,0.0,джіпічат (0c/10i/p8.5) | чем ты отличаешься от чата gpt (0c/6i/p8.0) | что означает gpt в chatgpt (0c/6i/p8.8) | chat gpt расшифровка (0c/5i/p9.6) | gpt расшифровка (0c/3i/p11.3),4,843,0.0047449584816132,6.816132858837485,0,353,0.0,6.861189801699717,4.0,,490.0,138.8,0.0047,-0.05,stable,both,4,1237,0.0032336297493936,6.864187550525465,0,0,4,1237,6.864187550525465,0,303,6.31023102310231,джіпічат,10.0,8.5,https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,False,False,https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,True,ru,GPT и ChatGPT: разница простыми словами + таблица,49.0,"Чем GPT отличается от ChatGPT: технология против сервиса, понятная таблица, примеры и когда какой вариант нужен для работы или бизнеса.",135.0,GPT vs ChatGPT: в чём разница простыми словами,1.0,7.0,745.0,13.0,5.0,1.0,1.0,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Article|FAQPage",True,True,True,True,True,True,2026-09-01,1.0,2026-09-13T10:46:46Z,True,[]
