url,status,final_url,redirected,noindex,canonical,canonical_self,html_lang,title,title_len,description,description_len,h1,h1_count,h2_count,word_count,internal_link_count,inbound_internal_links,img_count,img_missing_alt,jsonld_types,jsonld_has_faq,jsonld_has_breadcrumb,jsonld_has_org,jsonld_has_service,jsonld_has_article,faq_heading,sitemap_lastmod,telegram_links,coverageState,lastCrawlTime
https://gptbot.uz/ru/ai-bot-dlya-nishi/,200,https://gptbot.uz/ru/ai-bot-dlya-nishi/,False,False,https://gptbot.uz/ru/ai-bot-dlya-nishi/,True,ru,"AI-бот для ниши — клиника, салон, магазин, HoReCa 2026",54,"Какой AI-бот нужен вашей нише: клинике, салону, магазину, HoReCa, учебному центру или агентству недвижимости. Сценарии под каждую сферу и быстрый запуск.",153,"AI-бот для вашей ниши: клиника, салон, магазин, HoReCa",1,7,774,16,11,1,1,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Service|FAQPage",True,True,True,True,False,True,2026-06-25,1,Submitted and indexed,2026-08-06T02:45:15Z
https://gptbot.uz/ru/blog/ai-agent-ili-chat-bot/,200,https://gptbot.uz/ru/blog/ai-agent-ili-chat-bot/,False,False,https://gptbot.uz/ru/blog/ai-agent-ili-chat-bot/,True,ru,AI-агент или чат-бот: что выбрать бизнесу в 2026,48,"Чем AI-агент отличается от чат-бота и workflow. Матрица выбора для бизнеса в Узбекистане: CRM, Payme, Click, риски, стоимость и контроль человека на старте.",156,AI-агент или чат-бот: что выбрать бизнесу в Узбекистане,1,14,2133,10,5,2,1,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-13,1,Submitted and indexed,2026-09-14T04:55:53Z
https://gptbot.uz/ru/blog/kak-proverit-podryadchika-reklama-sayt-uzbekistan/,200,https://gptbot.uz/ru/blog/kak-proverit-podryadchika-reklama-sayt-uzbekistan/,False,False,https://gptbot.uz/ru/blog/kak-proverit-podryadchika-reklama-sayt-uzbekistan/,True,ru,Как проверить подрядчика по рекламе и сайту: чеклист,52,"Пять проверок до оплаты, красные флаги, что зафиксировать в договоре. Как за 15 минут понять, можно ли доверять исполнителю. Чеклист для бизнеса в Узбекистане.",159,Как проверить подрядчика до оплаты: чеклист,1,7,746,8,5,1,1,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-02,1,Submitted and indexed,2026-09-02T18:53:40Z
https://gptbot.uz/ru/blog/stoimost-lokalnogo-seo-v-tashkente/,200,https://gptbot.uz/ru/blog/stoimost-lokalnogo-seo-v-tashkente/,False,False,https://gptbot.uz/ru/blog/stoimost-lokalnogo-seo-v-tashkente/,True,ru,Стоимость локального SEO в Ташкенте: состав работ,49,"Из чего складывается стоимость локального SEO: филиалы, карточки, дубли, сайт, отзывы, аналитика и сопровождение. Как сравнить предложения подрядчиков.",151,Сколько стоит локальное SEO в Ташкенте и что входит в работу,1,10,712,7,5,2,1,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-08-04,1,Submitted and indexed,2026-08-21T01:56:53Z
https://gptbot.uz/ru/chto-takoe-gpt-i-kak-polzovatsya/,200,https://gptbot.uz/ru/chto-takoe-gpt-i-kak-polzovatsya/,False,False,https://gptbot.uz/ru/chto-takoe-gpt-i-kak-polzovatsya/,True,ru,Что такое GPT простыми словами: как работает модель,51,"Что означает GPT и как языковая модель превращает запрос в ответ: токены, контекст, вероятности, transformer, обучение и ограничения — без сложных формул.",154,Что такое GPT простыми словами и как он работает,1,12,1542,14,7,2,1,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Article|FAQPage",True,True,True,True,True,True,2026-08-25,1,Crawled - currently not indexed,2026-07-13T11:23:33Z
https://gptbot.uz/ru/gpt-bot-ili-obychnyy-chat-bot/,200,https://gptbot.uz/ru/gpt-bot-ili-obychnyy-chat-bot/,False,False,https://gptbot.uz/ru/gpt-bot-ili-obychnyy-chat-bot/,True,ru,GPT-бот или обычный чат-бот — разница и что выбрать 2026,56,"GPT-бот или обычный чат-бот: чем отличается умный AI-бот от кнопочного по сценарию. Сравнение по гибкости, понимании вопросов, цене и задачам.",142,GPT-бот или обычный чат-бот: в чём разница,1,7,716,17,4,1,1,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Service|FAQPage",True,True,True,True,False,True,2026-06-25,1,Submitted and indexed,2026-08-23T15:43:24Z
https://gptbot.uz/ru/promty-gpt-chatgpt-50-primerov/,200,https://gptbot.uz/ru/promty-gpt-chatgpt-50-primerov/,False,False,https://gptbot.uz/ru/promty-gpt-chatgpt-50-primerov/,True,ru,50 промптов для ChatGPT на русском: готовые примеры | GPTBot,60,"50 готовых промптов для ChatGPT на русском с кнопкой копирования: работа, учёба, маркетинг, бизнес, соцсети, тексты и перевод.",126,50 готовых промптов для ChatGPT на русском,1,14,1363,17,7,1,1,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Article|FAQPage",True,True,True,True,True,True,2026-08-25,1,Crawled - currently not indexed,2026-07-13T11:23:32Z
https://gptbot.uz/uz/amocrm-bitrix24-bilan-ai-bot/,200,https://gptbot.uz/uz/amocrm-bitrix24-bilan-ai-bot/,False,False,https://gptbot.uz/uz/amocrm-bitrix24-bilan-ai-bot/,True,uz,AmoCRM va Bitrix24 bilan AI-bot: lid uzatish | GPTBot,53,"AI-bot messenjerda kelishilgan ma’lumotni yig‘ib, lidni AmoCRM yoki Bitrix24’ga uzatadi. Scope maydon, deduplikatsiya, qayta urinish, monitoring va tiklashni belgilaydi.",169,AmoCRM va Bitrix24 bilan integratsiyalashgan AI bot,1,17,1441,20,22,1,1,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Service|FAQPage",True,True,True,True,False,True,2026-08-31,1,Submitted and indexed,2026-07-13T11:23:31Z
https://gptbot.uz/uz/biznes-nega-arizalarni-yoqotadi/,200,https://gptbot.uz/uz/biznes-nega-arizalarni-yoqotadi/,False,False,https://gptbot.uz/uz/biznes-nega-arizalarni-yoqotadi/,True,uz,Biznes nega arizalarni yo‘qotadi — 4 sabab va yechim 2026,57,"Biznes nega arizalarni yo‘qotadi: sekin javoblar, tun va dam olish kunlari, reklamadan keyingi cho‘qqilar, tipik savollar.",122,Biznes nega arizalarni yo‘qotadi va buni qanday to‘xtatish kerak,1,6,623,16,3,1,1,"['Organization', 'ProfessionalService']|Person|WebSite|BreadcrumbList|WebPage|Service|FAQPage",True,True,True,True,False,True,2026-06-25,1,Submitted and indexed,2026-08-05T10:55:59Z
https://gptbot.uz/uz/blog/kontekst-reklama-narxi-toshkent-2026/,200,https://gptbot.uz/uz/blog/kontekst-reklama-narxi-toshkent-2026/,False,False,https://gptbot.uz/uz/blog/kontekst-reklama-narxi-toshkent-2026/,True,uz,Kontekst reklama narxi Toshkent 2026: aniq raqamlar,51,"Toshkentda kontekst reklama narxi 2026: reklama byudjeti, xizmat haqi, klik va ariza narxi. Google Ads va Yandex Direct bo'yicha jadval.",136,Toshkentda kontekst reklama narxi 2026: qancha turadi,1,8,585,9,5,1,1,"['Organization', 'ProfessionalService']|WebSite|Person|BreadcrumbList|Article|FAQPage",True,True,True,True,True,True,2026-09-02,1,Submitted and indexed,2026-09-02T15:34:15Z
